HP.X HP.X:HQ.B
HP.X HP.X:HO.C
HP.Y HP.Y:IP.A
HP.Y HP.Y:GP.D

HQ.X HQ.X:HR.B
HQ.X HQ.X:HP.C
HQ.Y HQ.Y:IQ.A
HQ.Y HQ.Y:GQ.D

HR.X HR.X:HS.B
HR.X HR.X:HQ.C
HR.Y HR.Y:IR.A
HR.Y HR.Y:GR.D

HS.X HS.X:HT.B
HS.X HS.X:HR.C
HS.Y HS.Y:IS.A
HS.Y HS.Y:GS.D

HT.X HT.X:HU.B
HT.X HT.X:HS.C
HT.Y HT.Y:IT.A
HT.Y HT.Y:GT.D

HU.X HU.X:HV.B
HU.X HU.X:HT.C
HU.Y HU.Y:IU.A
HU.Y HU.Y:GU.D

HV.X HV.X:HU.C
HV.Y HV.Y:IV.A
HV.Y HV.Y:GV.D

IA.X IA.X:IB.B
IA.Y IA.Y:JA.A
IA.Y IA.Y:HA.D

IB.X IB.X:IC.B
IB.X IB.X:IA.C
IB.Y IB.Y:JB.A
IB.Y IB.Y:HB.D

IC.X IC.X:ID.B
IC.X IC.X:IB.C
IC.Y IC.Y:JC.A
IC.Y IC.Y:HC.D

ID.X ID.X:IE.B
ID.X ID.X:IC.C
ID.Y ID.Y:JD.A
ID.Y ID.Y:HD.D

IE.X IE.X:IF.B
IE.X IE.X:ID.C
IE.Y IE.Y:JE.A
IE.Y IE.Y:HE.D

IF.X IF.X:IG.B
IF.X IF.X:IE.C
IF.Y IF.Y:JF.A
IF.Y IF.Y:HF.D

IG.X IG.X:IH.B
IG.X IG.X:IF.C
IG.Y IG.Y:JG.A
IG.Y IG.Y:HG.D

IH.X IH.X:II.B
IH.X IH.X:IG.C
IH.Y IH.Y:JH.A
IH.Y IH.Y:HH.D

II.X II.X:IJ.B
II.X II.X:IH.C
II.Y II.Y:JI.A
II.Y II.Y:HI.D

IJ.X IJ.X:IK.B
IJ.X IJ.X:II.C
IJ.Y IJ.Y:JJ.A
IJ.Y IJ.Y:HJ.D

IK.X IK.X:IL.B
IK.X IK.X:IJ.C
IK.Y IK.Y:JK.A
IK.Y IK.Y:HK.D

IL.X IL.X:IM.B
IL.X IL.X:IK.C
IL.Y IL.Y:JL.A
IL.Y IL.Y:HL.D

IM.X IM.X:IN.B
IM.X IM.X:IL.C
IM.Y IM.Y:JM.A
IM.Y IM.Y:HM.D

IN.X IN.X:IO.B
IN.X IN.X:IM.C
IN.Y IN.Y:JN.A
IN.Y IN.Y:HN.D

IO.X IO.X:IP.B
IO.X IO.X:IN.C
IO.Y IO.Y:JO.A
IO.Y IO.Y:HO.D

IP.X IP.X:IQ.B
IP.X IP.X:IO.C
IP.Y IP.Y:JP.A
IP.Y IP.Y:HP.D

IQ.X IQ.X:IR.B
IQ.X IQ.X:IP.C
IQ.Y IQ.Y:JQ.A
IQ.Y IQ.Y:HQ.D

IR.X IR.X:IS.B
IR.X IR.X:IQ.C
IR.Y IR.Y:JR.A
IR.Y IR.Y:HR.D

IS.X IS.X:IT.B
IS.X IS.X:IR.C
IS.Y IS.Y:JS.A
IS.Y IS.Y:HS.D

IT.X IT.X:IU.B
IT.X IT.X:IS.C
IT.Y IT.Y:JT.A
IT.Y IT.Y:HT.D

IU.X IU.X:IV.B
IU.X IU.X:IT.C
IU.Y IU.Y:JU.A
IU.Y IU.Y:HU.D

IV.X IV.X:IU.C
IV.Y IV.Y:JV.A
IV.Y IV.Y:HV.D

JA.X JA.X:JB.B
JA.Y JA.Y:KA.A
JA.Y JA.Y:IA.D

JB.X JB.X:JC.B
JB.X JB.X:JA.C
JB.Y JB.Y:KB.A
JB.Y JB.Y:IB.D

JC.X JC.X:JD.B
JC.X JC.X:JB.C
JC.Y JC.Y:KC.A
JC.Y JC.Y:IC.D

JD.X JD.X:JE.B
JD.X JD.X:JC.C
JD.Y JD.Y:KD.A
JD.Y JD.Y:ID.D

JE.X JE.X:JF.B
JE.X JE.X:JD.C
JE.Y JE.Y:KE.A
JE.Y JE.Y:IE.D

JF.X JF.X:JG.B
JF.X JF.X:JE.C
JF.Y JF.Y:KF.A
JF.Y JF.Y:IF.D

JG.X JG.X:JH.B
JG.X JG.X:JF.C
JG.Y JG.Y:KG.A
JG.Y JG.Y:IG.D

JH.X JH.X:JI.B
JH.X JH.X:JG.C
JH.Y JH.Y:KH.A
JH.Y JH.Y:IH.D

JI.X JI.X:JJ.B
JI.X JI.X:JH.C
JI.Y JI.Y:KI.A
JI.Y JI.Y:II.D

JJ.X JJ.X:JK.B
JJ.X JJ.X:JI.C
JJ.Y JJ.Y:KJ.A
JJ.Y JJ.Y:IJ.D

JK.X JK.X:JL.B
JK.X JK.X:JJ.C
JK.Y JK.Y:KK.A
JK.Y JK.Y:IK.D

JL.X JL.X:JM.B
JL.X JL.X:JK.C
JL.Y JL.Y:KL.A
JL.Y JL.Y:IL.D

JM.X JM.X:JN.B
JM.X JM.X:JL.C
JM.Y JM.Y:KM.A
JM.Y JM.Y:IM.D

JN.X JN.X:JO.B
JN.X JN.X:JM.C
JN.Y JN.Y:KN.A
JN.Y JN.Y:IN.D

JO.X JO.X:JP.B
JO.X JO.X:JN.C
JO.Y JO.Y:KO.A
JO.Y JO.Y:IO.D

JP.X JP.X:JQ.B
JP.X JP.X:JO.C
JP.Y JP.Y:KP.A
JP.Y JP.Y:IP.D

JQ.X JQ.X:JR.B
JQ.X JQ.X:JP.C
JQ.Y JQ.Y:KQ.A
JQ.Y JQ.Y:IQ.D

JR.X JR.X:JS.B
JR.X JR.X:JQ.C
JR.Y JR.Y:KR.A
JR.Y JR.Y:IR.D

JS.X JS.X:JT.B
JS.X JS.X:JR.C
JS.Y JS.Y:KS.A
JS.Y JS.Y:IS.D

JT.X JT.X:JU.B
JT.X JT.X:JS.C
JT.Y JT.Y:KT.A
JT.Y JT.Y:IT.D

JU.X JU.X:JV.B
JU.X JU.X:JT.C
JU.Y JU.Y:KU.A
JU.Y JU.Y:IU.D

JV.X JV.X:JU.C
JV.Y JV.Y:KV.A
JV.Y JV.Y:IV.D

KA.X KA.X:KB.B
KA.Y KA.Y:LA.A
KA.Y KA.Y:JA.D

KB.X KB.X:KC.B
KB.X KB.X:KA.C
KB.Y KB.Y:LB.A
KB.Y KB.Y:JB.D

KC.X KC.X:KD.B
KC.X KC.X:KB.C
KC.Y KC.Y:LC.A
KC.Y KC.Y:JC.D

KD.X KD.X:KE.B
KD.X KD.X:KC.C
KD.Y KD.Y:LD.A
KD.Y KD.Y:JD.D

KE.X KE.X:KF.B
KE.X KE.X:KD.C
KE.Y KE.Y:LE.A
KE.Y KE.Y:JE.D

KF.X KF.X:KG.B
KF.X KF.X:KE.C
KF.Y KF.Y:LF.A
KF.Y KF.Y:JF.D

KG.X KG.X:KH.B
KG.X KG.X:KF.C
KG.Y KG.Y:LG.A
KG.Y KG.Y:JG.D

KH.X KH.X:KI.B
KH.X KH.X:KG.C
KH.Y KH.Y:LH.A
KH.Y KH.Y:JH.D

KI.X KI.X:KJ.B
KI.X KI.X:KH.C
KI.Y KI.Y:LI.A
KI.Y KI.Y:JI.D

KJ.X KJ.X:KK.B
KJ.X KJ.X:KI.C
KJ.Y KJ.Y:LJ.A
KJ.Y KJ.Y:JJ.D

KK.X KK.X:KL.B
KK.X KK.X:KJ.C
KK.Y KK.Y:LK.A
KK.Y KK.Y:JK.D

KL.X KL.X:KM.B
KL.X KL.X:KK.C
KL.Y KL.Y:LL.A
KL.Y KL.Y:JL.D

KM.X KM.X:KN.B
KM.X KM.X:KL.C
KM.Y KM.Y:LM.A
KM.Y KM.Y:JM.D

KN.X KN.X:KO.B
KN.X KN.X:KM.C
KN.Y KN.Y:LN.A
KN.Y KN.Y:JN.D

KO.X KO.X:KP.B
KO.X KO.X:KN.C
KO.Y KO.Y:LO.A
KO.Y KO.Y:JO.D

KP.X KP.X:KQ.B
KP.X KP.X:KO.C
KP.Y KP.Y:LP.A
KP.Y KP.Y:JP.D

